Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
Lats2	0.307846384865763	6.12186548403281	0.711909933964931	0.479030114205069	0.783270285253072	-6.38018013449044
Glmn	-0.228020938527103	3.41932739896722	-0.711658244313858	0.479184961838327	0.783270285253072	-6.04237352726319
Olfr654	-0.430723245849058	-0.743789849266867	-0.711621599599794	0.47920750918502	0.783270285253072	-5.5802256506178
Dctn6	-0.2150255428795	4.95126426902098	-0.711588380198195	0.479227949462467	0.783270285253072	-6.27366124122864
Fndc3c1	-0.496951139267996	-1.59998025401098	-0.711321216777414	0.479392355867199	0.783270285253072	-5.56020430567958
CT573016.1	-0.57985310139267	-1.86872104207273	-0.711214395122933	0.479458100338314	0.783270285253072	-5.55551656677981
Gpr152	-0.442701498671574	-1.2357605352716	-0.711142925869353	0.479502089625259	0.783270285253072	-5.57245388951615
Fxyd1	-0.351922770985836	4.81253033058937	-0.711084290121109	0.479538181578661	0.783270285253072	-6.21588458466416
Wdr74	0.220013904545583	4.51714415150644	0.710979238295739	0.479602847725187	0.783270285253072	-6.26249925497978
Gm8186	-0.232789625215974	4.66871504168799	-0.710907173958692	0.479647210767648	0.783270285253072	-6.25022243791546
Unc45a	-0.332205828542594	4.72893343513891	-0.710880902114002	0.479663384371022	0.783270285253072	-6.15162110335772
Rmnd5a	-0.272600913812301	6.12779809951156	-0.710818836461481	0.479701594744608	0.783270285253072	-6.34618589417778
Lpin1	0.196866858637555	4.49250307852062	0.71080980281366	0.479707156401204	0.783270285253072	-6.25252480806411
Slc16a8	-0.425602571890575	0.0949339334828991	-0.710769425387576	0.479732015611512	0.783270285253072	-5.61863897229854
Hemk1	-0.269280823621903	3.03364734459331	-0.71076751861714	0.479733189572546	0.783270285253072	-5.9816383159811
Nt5c3b	0.138275820048554	4.42783022918461	0.710589739646781	0.479842651627369	0.783270285253072	-6.24414217280571
Dis3	0.132070207387535	4.31146185408005	0.710567232647776	0.479856510628759	0.783270285253072	-6.22682223945568
Cops6	0.238852421706242	6.20773790245489	0.710550028481082	0.479867104487103	0.783270285253072	-6.38597282999236
Ankrd49	-0.169487512661515	4.39714279365764	-0.710545077172225	0.479870153392727	0.783270285253072	-6.20849981318002
Manf	0.272774799208913	6.71147056143254	0.710396166957338	0.479961854033206	0.783270285253072	-6.40727429836496
Rnf146	0.206896794818952	5.49634638518391	0.710383100199415	0.479969901160998	0.783270285253072	-6.34685356888686
Defb1	0.6014851746603	-1.80086171283581	0.710370120089139	0.479977895001576	0.783270285253072	-5.57260519698122
Ssbp3	-0.204896716374406	5.08005055105915	-0.710285251029467	0.480030163701344	0.783270285253072	-6.26461629322576
Safb	-0.178040897628422	5.76704777924967	-0.710193461838332	0.48008669790764	0.783270285253072	-6.34288872537915
Lpp	-0.254833836939329	7.39832367452316	-0.710165259456091	0.480104068882596	0.783270285253072	-6.41745308007369
Gm2916	-0.445576093393549	-1.84122644693416	-0.710067812968971	0.480164092768462	0.783270285253072	-5.55943042335288
Naa16	-0.297294058996472	3.42831569173091	-0.710049524879124	0.480175358106946	0.783270285253072	-5.97709057477092
Trmt1	0.179644728926117	4.26494689136823	0.710029838640591	0.480187484860183	0.783270285253072	-6.22988304553169
Reps1	-0.61871235022208	4.48252209259515	-0.709945496339696	0.480239441780436	0.783270285253072	-6.07588779023426
Prokr1	-0.472388732315971	0.461314137806626	-0.709926666704151	0.48025104172448	0.783270285253072	-5.63123760761941
D330045A20Rik	-0.489399365129189	-0.134163561436237	-0.709725519477938	0.480374967655409	0.783288793608133	-5.60687234502389
Fam45a	-0.163506049946528	5.47583942547768	-0.709705223869562	0.480387472681464	0.783288793608133	-6.31718159391257
Msx2	0.625130868576057	-1.28175617869854	0.709691735237395	0.480395783727422	0.783288793608133	-5.59588283074941
Zfp607a	-0.245491481674527	2.62986345132084	-0.709378329071399	0.480588912088799	0.783531168473511	-5.8971860933891
Gm5141	-0.274181200569003	2.10542000886405	-0.709114253557117	0.480751675309448	0.783723997061932	-5.81708800965302
Gtf2h2	0.408284175402626	2.52066922931559	0.708908762648392	0.480878351093351	0.783857965472423	-6.02801500411406
B3gnt8	0.528073006304291	1.63068878895478	0.708798640378739	0.480946244107786	0.783896098834452	-5.87873997919468
Grpel2	-0.125769252101408	4.29630350892831	-0.708508617815156	0.481125075504782	0.784005670255709	-6.20825166327669
Cdk12	-0.334189166105342	4.63957855304822	-0.708451698374828	0.481160177062148	0.784005670255709	-6.18902121804299
Cwc22	-0.552344465753583	4.38655862574025	-0.70842649746691	0.481175718624668	0.784005670255709	-6.10006178048667
Zfp641	0.454889146946252	0.37892706037646	0.708379345057398	0.481204798570703	0.784005670255709	-5.68452803388487
Arhgef11	0.614800882628832	4.55287531307446	0.708328760326987	0.481235996393902	0.784005670255709	-6.28865670216172
Foxf1	0.339428776145669	1.57036765181017	0.708097774680612	0.481378469691492	0.784096959714345	-5.8329285110285
Rad9b	0.40784173450817	0.522654519551302	0.708093587779612	0.481381052413184	0.784096959714345	-5.73414046542366
Grk3	-0.249813767549034	4.97049222337062	-0.707813636494182	0.481553759992018	0.784256146765688	-6.26668585265963
Olfr584	-0.510719556408075	-2.08086147388132	-0.707790846243349	0.481567821274094	0.784256146765688	-5.55634940776847
Saa2	-0.69169410123976	-1.46558551467857	-0.707632479042576	0.481665538044796	0.784342772989197	-5.56418814738703
Tmem168	-0.146599786052335	6.0175078579645	-0.707560222284246	0.481710126050165	0.784342876467298	-6.36091670097294
Map4k2	0.5158276922942	3.13034989505095	0.707262755741978	0.481893710090527	0.784569278831306	-6.05178123149247
Ikzf3	-0.398451012578868	-1.64581792362086	-0.706858703313129	0.482143136861677	0.784896326225141	-5.56721357477604
Rpp30	-0.172924934444464	3.69014570806273	-0.706793006645025	0.482183699046803	0.784896326225141	-6.14360136542421
Mtfr2	0.366067168041703	1.33469956133483	0.706631879322462	0.482283189695439	0.784931246610824	-5.83178471365689
Fkbp2	0.30956188065091	5.24871084471708	0.706613939987268	0.482294267331719	0.784931246610824	-6.33801588337043
Pbk	-0.236435196419614	3.52101235501894	-0.706508699202963	0.482359256933396	0.784964496086717	-6.08302522640418
Xirp2	1.37855691619776	3.27971677330016	0.70601474050912	0.482664357516537	0.785388446518688	-6.03110816082506
Vps39	-0.402887581700795	5.27357319356526	-0.705424067082215	0.483029336090001	0.785909742732193	-6.27500595703647
Wbp4	0.127096794008291	5.28474550045761	0.705290572317028	0.483111844070933	0.785914294182951	-6.32558114146342
Ampd2	-0.150891447553639	5.29683458000929	-0.705275175440468	0.483121360791733	0.785914294182951	-6.29686736972957
Icmt	-0.447980265067747	5.48133411345023	-0.705092464052118	0.483234301598378	0.785925925962483	-6.20289439181466
Cox19	-0.247086759189317	3.3760544708167	-0.705087904687551	0.483237120101234	0.785925925962483	-6.11642487310446
Met	-0.351683829469948	3.82743718204519	-0.704992012588858	0.483296400685955	0.785925925962483	-6.06251123195631
Fgd1	0.218931624291538	3.63613092523949	0.704974918915148	0.483306968435035	0.785925925962483	-6.12008888625988
Chm	-0.603721418566003	4.62265405058502	-0.704632572248669	0.483518642972675	0.785984692533177	-6.1343627917063
Sec24d	-0.910752335811613	6.09200334107673	-0.704586126550995	0.483547364527987	0.785984692533177	-6.25167470158472
Cul3	-0.15259896193615	6.53243659480449	-0.704458517483576	0.483626281575487	0.785984692533177	-6.38859304469191
Tjp2	0.151749032912895	5.11996163741351	0.704432945645106	0.483642096781635	0.785984692533177	-6.30281608929572
Calml4	-0.303724771331777	4.17431817305897	-0.704385920323905	0.483671180897379	0.785984692533177	-6.18583727989657
Chadl	-0.517896893605503	-0.364260831586571	-0.704345177874853	0.4836963799812	0.785984692533177	-5.59541194213352
Naip6	-0.267882732574939	3.37695853454718	-0.704305367159438	0.483721003494351	0.785984692533177	-6.06271488937816
Mfsd7a	-0.282598406316329	3.52552618654451	-0.704109674508826	0.483842052391651	0.785984692533177	-6.08075368494632
Tifa	0.192523207180802	5.46492293705397	0.704095012378366	0.483851122569648	0.785984692533177	-6.34560069123622
Pi4ka	-0.70425457712927	5.60896835165869	-0.704079310414028	0.483860836106559	0.785984692533177	-6.23119919468005
Rsl1d1	-0.146659501893298	6.21179751075207	-0.704014228376673	0.483901098259327	0.785984692533177	-6.37857713008717
Zcchc3	-0.33832382207558	1.68283951196208	-0.703983921400829	0.48391984790862	0.785984692533177	-5.73769823624873
Sucnr1	-0.465605288617987	-1.40746527833968	-0.703868023548907	0.483991552745396	0.785984692533177	-5.57011123404302
Mtfmt	0.271618761981357	2.8337399874121	0.703859871374798	0.483996596635508	0.785984692533177	-6.09761506995184
Olfr427	-0.484838044957094	-2.18983320021546	-0.703834374838356	0.48401237196866	0.785984692533177	-5.55903383923068
Arhgap40	0.476310842052076	-2.05532833828608	0.703671748626794	0.484112999510841	0.786009299816123	-5.57031432386556
Kctd10	0.150825782305526	7.87265568264915	0.70351825447898	0.484207987088478	0.786009299816123	-6.43130188685547
Gm10408	-0.531667738364939	-1.9964221253718	-0.703495211583998	0.484222247734711	0.786009299816123	-5.56290275719823
